name,code,lat,lon
Cambuci,90,-23.5677084050662,-46.612272856135796
Capão Redondo,269,-23.6683561456718,-46.7800433836767
Carapicuíba,263,-23.5313950283077,-46.8357797276639
Centro,94,-23.547806159703697,-46.6424144996321
Cerqueira César,91,-23.5535425616777,-46.6727047692529
Cid.Universitária-USP-Ipen,95,-23.5663417755292,-46.73741428195189
Congonhas,73,-23.616320078818198,-46.66346552737021
Cubatão-Centro,87,-23.8790267306876,-46.418483361896
Cubatão-V.Parisi,66,-23.849416169959103,-46.3886762431427
Cubatão-Vale do Mogi,119,-23.831589008125402,-46.3695687908739
Diadema,92,-23.6858764117137,-46.611621932375094
Grajaú-Parelheiros,98,-23.776265984399,-46.69696107836571
Guarulhos,118,-23.463209382964898,-46.4962135994365
Guarulhos-Paço Municipal,264,-23.455534258102304,-46.5185334030574
Guarulhos-Pimentas,279,-23.4401170078091,-46.40994877100061
Ibirapuera,83,-23.591841990137898,-46.6606875025418
Interlagos,262,-23.6805076511499,-46.6750431583082
Itaim Paulista,266,-23.5015473609702,-46.42073683949229
Itaquera,97,-23.5800148313619,-46.466651411457796
Jacareí,259,-23.294199243541197,-45.96823386425079
Jundiaí,109,-23.192003743039,-46.897097272538396
Marg.Tietê-Pte Remédios,270,-23.518705831012202,-46.7433200408467
Mauá,65,-23.6685489997822,-46.4660002742069
Mogi das Cruzes,287,-23.518172230148,-46.1868605711067
Mooca,85,-23.5497340450694,-46.60041664533689
N.Senhora do Ó,96,-23.480098705950397,-46.692051922128805
Osasco,120,-23.526721419003803,-46.7920776611899
Parque D.Pedro II,72,-23.544845658680803,-46.6276755923666
Pico do Jaraguá,284,-23.456268899747602,-46.766097759005795
Pinheiros,99,-23.5614598947311,-46.7020165084763
S.André Capuava,100,-23.6398036991568,-46.4916367657882
S.André-Centro,101,-23.6456163828539,-46.5363346692648
S.André-Paço Municipal,254,-23.6569941995448,-46.5309187564731
S.Bernardo-Centro,272,-23.698671086452197,-46.5462321867186
S.Bernardo-Paulicéia,102,-23.6713539571073,-46.58466788588571
S.José Campos,88,-23.187887330251797,-45.871197623077705
S.José Campos-Jd.Satélite,277,-23.223645481701897,-45.890799996297105
S.José Campos-Vista Verde,278,-23.183697345139198,-45.8308969846329
S.Miguel Paulista,236,-23.4985264108007,-46.4448027795288
Santana,63,-23.505992722247502,-46.6289602999862
Santo Amaro,64,-23.654977229611397,-46.70999838176021
Santos,258,-23.963057204247498,-46.3211700936539
Santos-Ponta da Praia,260,-23.981295157364503,-46.3005095935412
São Caetano do Sul,86,-23.618442772969498,-46.5563539375078
Taboão da Serra,103,-23.6093238641752,-46.7582943678197
Taubaté,280,-23.0323509589424,-45.575805024983396
